#motif_id	gene_name	motif_similarity_qvalue	orthologous_identity	description
Elk4_glue	Elk4	0.0	1.0	placeholder
Hes5_glue	Hes5	0.0	1.0	placeholder
Hey1_glue	Hey1	0.0	1.0	placeholder
Hey2_glue	Hey2	0.0	1.0	placeholder
Rfx1_glue	Rfx1	0.0	1.0	placeholder
Rfx2_glue	Rfx2	0.0	1.0	placeholder
Rfx3_glue	Rfx3	0.0	1.0	placeholder
Sry_glue	Sry	0.0	1.0	placeholder
Creb3_glue	Creb3	0.0	1.0	placeholder
Xbp1_glue	Xbp1	0.0	1.0	placeholder
Lbx2_glue	Lbx2	0.0	1.0	placeholder
Prop1_glue	Prop1	0.0	1.0	placeholder
Cux1_glue	Cux1	0.0	1.0	placeholder
Cux2_glue	Cux2	0.0	1.0	placeholder
Atf6_glue	Atf6	0.0	1.0	placeholder
Prox1_glue	Prox1	0.0	1.0	placeholder
Trp63_glue	Trp63	0.0	1.0	placeholder
Cst6_glue	Cst6	0.0	1.0	placeholder
Bcl6_glue	Bcl6	0.0	1.0	placeholder
Npas4_glue	Npas4	0.0	1.0	placeholder
Yap1_glue	Yap1	0.0	1.0	placeholder
Atf7_glue	Atf7	0.0	1.0	placeholder
Creb5_glue	Creb5	0.0	1.0	placeholder
Hoxb3_glue	Hoxb3	0.0	1.0	placeholder
Ets2_glue	Ets2	0.0	1.0	placeholder
Cebpd_glue	Cebpd	0.0	1.0	placeholder
Runx2_glue	Runx2	0.0	1.0	placeholder
Pdp1_glue	Pdp1	0.0	1.0	placeholder
Hoxc13_glue	Hoxc13	0.0	1.0	placeholder
Arid5a_glue	Arid5a	0.0	1.0	placeholder
Mybl1_glue	Mybl1	0.0	1.0	placeholder
Hoxd11_glue	Hoxd11	0.0	1.0	placeholder
Hoxc12_glue	Hoxc12	0.0	1.0	placeholder
Hoxd12_glue	Hoxd12	0.0	1.0	placeholder
Cebpa_glue	Cebpa	0.0	1.0	placeholder
Nkx3-1_glue	Nkx3-1	0.0	1.0	placeholder
Crem_glue	Crem	0.0	1.0	placeholder
Gmeb1_glue	Gmeb1	0.0	1.0	placeholder
Elk3_glue	Elk3	0.0	1.0	placeholder
Elk1_glue	Elk1	0.0	1.0	placeholder
